Season,Date,HomeTeam,AwayTeam,FTR,odds_source,market_mode,match,actual,model_pick,market_pick,model_confidence,market_confidence,model_market_disagree,model_home_prob,market_home_prob,model_vs_market_home_edge,model_draw_prob,market_draw_prob,model_vs_market_draw_edge,model_away_prob,market_away_prob,model_vs_market_away_edge,max_abs_edge,model_correct,market_correct,model_log_loss,market_log_loss,log_loss_difference_model_minus_market,edge_correct
2324,2024-04-07,Man United,Liverpool,D,average closing odds,benchmark,Man United vs Liverpool,draw,away_win,away_win,0.41353196,0.6024590163934427,False,0.19498387,0.19672131147540983,-0.0017374416843789486,0.39148423,0.20081967213114757,0.19066455862561207,0.41353196,0.6024590163934427,-0.18892705733658843,0.19066455862561207,False,False,0.93781006,1.605347927182575,-0.6675378638204534,False
2425,2025-05-20,Crystal Palace,Wolves,H,average closing odds,benchmark,Crystal Palace vs Wolves,home_win,home_win,home_win,0.59459513,0.40393799650320933,False,0.59459513,0.40393799650320933,0.19065713775506093,0.26858038,0.2892244869222375,-0.020644109820339318,0.13682449,0.3068375165745532,-0.17001302793472167,0.19065713775506093,True,True,0.5198746,0.9064938868012838,-0.3866193140473776,True
2425,2024-09-29,Ipswich,Aston Villa,D,average closing odds,benchmark,Ipswich vs Aston Villa,draw,away_win,away_win,0.65676785,0.46733283740093273,False,0.13631725,0.2637549712454579,-0.1274377181326649,0.20691493,0.26891219135360933,-0.061997259817888506,0.65676785,0.46733283740093273,0.18943500775287586,0.18943500775287586,False,False,1.5754476,1.313370378863686,0.26207718049300355,False
2425,2024-10-26,Man City,Southampton,H,average closing odds,benchmark,Man City vs Southampton,home_win,home_win,home_win,0.6698543,0.8575301816052722,False,0.6698543,0.8575301816052722,-0.18767589827244746,0.16533267,0.09575611200377916,0.06957656297638441,0.16481304,0.046713706390948684,0.11809933529606303,0.18767589827244746,True,True,0.4006951,0.15369890335413475,0.24699618217137795,False
2425,2024-12-01,Liverpool,Man City,H,average closing odds,benchmark,Liverpool vs Man City,home_win,home_win,home_win,0.6566203,0.4704973829476875,False,0.6566203,0.4704973829476875,0.186122940710302,0.1925723,0.2552698567056602,-0.06269756103991925,0.15080735,0.2742327603466521,-0.12342540947270497,0.186122940710302,True,True,0.42064932,0.7539648822512637,-0.3333155623641024,True
2425,2024-12-14,Newcastle,Leicester,H,average closing odds,benchmark,Newcastle vs Leicester,home_win,home_win,home_win,0.5570973,0.7431184228665962,False,0.5570973,0.7431184228665962,-0.1860211070783272,0.21659921,0.15511695234594003,0.06148225875082358,0.22630355,0.10176462478746383,0.12453892283330949,0.1860211070783272,True,True,0.58501536,0.2968998622183488,0.28811549432233113,False
2425,2025-05-04,West Ham,Tottenham,D,average closing odds,benchmark,West Ham vs Tottenham,draw,away_win,home_win,0.42612803,0.5149870775446344,True,0.3561874,0.5149870775446344,-0.15879967434257747,0.21768457,0.24373434204402544,-0.02604977506938555,0.42612803,0.24127858041134004,0.18484944941196318,0.18484944941196318,False,False,1.5247082,1.411676408935615,0.1130317428817067,False
2425,2025-03-16,Arsenal,Chelsea,H,average closing odds,benchmark,Arsenal vs Chelsea,home_win,home_win,home_win,0.41602293,0.5554748983142637,False,0.41602293,0.5554748983142637,-0.13945197174527868,0.21585551,0.2611335799140424,-0.045278070871302534,0.3681216,0.1833915217716939,0.18473007241890363,0.18473007241890363,True,True,0.87701494,0.5879318584765213,0.2890830765401108,False
2425,2024-10-05,Man City,Fulham,H,average closing odds,benchmark,Man City vs Fulham,home_win,home_win,home_win,0.57868165,0.7621056393115425,False,0.57868165,0.7621056393115425,-0.18342399153398514,0.27047354,0.15003954773945993,0.12043399208979422,0.1508449,0.0878548129489976,0.06299008885115805,0.18342399153398514,True,True,0.5470028,0.2716700986372166,0.27533269372118185,False
2425,2025-05-18,Arsenal,Newcastle,H,average closing odds,benchmark,Arsenal vs Newcastle,home_win,away_win,home_win,0.42163843,0.5046657292598747,True,0.40584394,0.5046657292598747,-0.09882178590240709,0.17251761,0.2550172568068516,-0.08249964423036693,0.42163843,0.2403170139332737,0.18132141523161277,0.18132141523161277,False,True,0.90178657,0.6838589911317084,0.2179275746489312,False
2425,2024-10-27,West Ham,Man United,H,average closing odds,benchmark,West Ham vs Man United,home_win,home_win,away_win,0.47267407,0.44759331752770576,True,0.47267407,0.29161382808623254,0.1810602437025553,0.26066175,0.26079285438606165,-0.00013110335418603514,0.2666642,0.44759331752770576,-0.18092911054604682,0.1810602437025553,True,False,0.7493492,1.2323248585514435,-0.48297568166774596,True
2425,2024-12-07,Crystal Palace,Man City,D,average closing odds,benchmark,Crystal Palace vs Man City,draw,away_win,away_win,0.38743147,0.5532224913966202,False,0.38561413,0.20612572484584996,0.17948840207485012,0.22695442,0.2406517837575298,-0.01369736831697041,0.38743147,0.5532224913966202,-0.16579101885671843,0.17948840207485012,False,False,1.4830061,1.4244042710122873,0.0586018487158011,False
2425,2025-05-25,Fulham,Man City,A,average closing odds,benchmark,Fulham vs Man City,away_win,away_win,away_win,0.4741296,0.6303715848500296,False,0.33644637,0.1581130047808655,0.17833336987390438,0.18942407,0.21151541036910484,-0.022091342633432848,0.4741296,0.6303715848500296,-0.15624199743814915,0.17833336987390438,True,True,0.7462746,0.46144581624810144,0.2848287742441471,False
2425,2024-11-23,Aston Villa,Crystal Palace,D,average closing odds,benchmark,Aston Villa vs Crystal Palace,draw,home_win,home_win,0.37711424,0.5551878739248973,False,0.37711424,0.5551878739248973,-0.17807363757006944,0.3354499,0.2507767681175123,0.0846731360859026,0.2874359,0.19403535795759033,0.09340053128648926,0.17807363757006944,False,False,1.0922827,1.383192105624295,-0.29090945276937563,False
2324,2024-04-06,Luton,Bournemouth,H,average closing odds,benchmark,Luton vs Bournemouth,home_win,draw,away_win,0.36048663,0.49856393289557815,True,0.31870922,0.25659423746359084,0.06211498699891832,0.36048663,0.24484182964083098,0.11564479698423005,0.32080418,0.49856393289557815,-0.17775975418082596,0.17775975418082596,False,False,1.1434761,1.3602592843263825,-0.2167831557481965,False
2425,2025-01-04,Bournemouth,Everton,H,average closing odds,benchmark,Bournemouth vs Everton,home_win,home_win,home_win,0.7413798,0.5652283768418876,False,0.7413798,0.5652283768418876,0.17615142061676103,0.14704439,0.24747045514580054,-0.10042606470581336,0.11157583,0.18730116801231178,-0.07572534100978645,0.17615142061676103,True,True,0.29924223,0.5705254227054566,-0.27128319443587956,True
2425,2025-02-15,Aston Villa,Ipswich,D,average closing odds,benchmark,Aston Villa vs Ipswich,draw,home_win,home_win,0.49633005,0.6717549734094937,False,0.49633005,0.6717549734094937,-0.1754249207952817,0.28146073,0.19445538703959028,0.08700534518201311,0.22220926,0.13378963955091588,0.08841962031675227,0.1754249207952817,False,False,1.2677623,1.6375525147806356,-0.3697902114282796,False
2425,2025-01-04,Tottenham,Newcastle,A,average closing odds,benchmark,Tottenham vs Newcastle,away_win,home_win,away_win,0.4269362,0.5354482681082702,True,0.4269362,0.25156230968866233,0.1753738995131504,0.20685343,0.21298942220306746,-0.006135987759593647,0.36621037,0.5354482681082702,-0.16923789685239554,0.1753738995131504,False,True,1.0045474,0.6246509986007133,0.37989635895849083,False
2425,2025-05-11,Liverpool,Arsenal,D,average closing odds,benchmark,Liverpool vs Arsenal,draw,home_win,home_win,0.60233223,0.4277024149887463,False,0.60233223,0.4277024149887463,0.1746298193938831,0.15053858,0.2691161262850539,-0.11857754765556017,0.24712922,0.3031814587261999,-0.05605224193600061,0.1746298193938831,False,False,1.8935359,1.3126122963073394,0.5809235561249115,False
2425,2025-01-04,Crystal Palace,Chelsea,D,average closing odds,benchmark,Crystal Palace vs Chelsea,draw,home_win,away_win,0.438538,0.48339592387864466,True,0.438538,0.26735305287142913,0.1711849620173343,0.25253704,0.24925102324992618,0.003286018652615935,0.30892497,0.48339592387864466,-0.17447095086762782,0.17447095086762782,False,False,1.3761973,1.3892947648329645,-0.0130974267287165,False
2425,2025-02-02,Man United,Crystal Palace,A,average closing odds,benchmark,Man United vs Crystal Palace,away_win,home_win,home_win,0.43616924,0.5345449461764296,False,0.43616924,0.5345449461764296,-0.09837570927800732,0.18815371,0.26359103406496115,-0.07543732012338705,0.37567705,0.20186401975860946,0.1738130294013942,0.1738130294013942,False,False,0.9790254,1.6001609777730976,-0.6211355542463337,False
2425,2025-01-04,Man City,West Ham,H,average closing odds,benchmark,Man City vs West Ham,home_win,home_win,home_win,0.59709406,0.7698935183139664,False,0.59709406,0.7698935183139664,-0.17279945932348784,0.21874316,0.1369681438607343,0.08177501650627772,0.18416277,0.09313833782529933,0.09102442791604894,0.17279945932348784,True,True,0.5156806,0.2615030616010011,0.2541775495325743,False
