team,expected_points,expected_position,title_probability,top_4_probability,top_6_probability,relegation_probability,expected_points_deterministic,points,actual_position,season,model_variant,position_error,points_error
West Ham,42.2987,15.5537,0.0,0.0024,0.01,0.3374,42.2573394626379,52,9,2324,current_without_elo,6.553699999999999,9.701300000000003
Luton,39.8477,16.3568,0.0,0.0013,0.0062,0.444,40.01373737305403,26,18,2324,current_without_elo,1.6432000000000002,13.847700000000003
Wolves,32.3579,18.8133,0.0,0.0,0.0003,0.8357,32.34775572270155,46,15,2324,current_without_elo,3.8133000000000017,13.6421
Liverpool,80.0528,1.9398,0.5101,0.9503,0.9937,0.0,80.03490149229765,82,3,2324,current_plus_elo,1.0602,1.9471999999999952
Man City,76.0112,2.7744,0.2364,0.8554,0.9736,0.0,76.05988085269928,91,1,2324,current_plus_elo,1.7744,14.988799999999998
Newcastle,71.6156,3.8722,0.0937,0.6582,0.919,0.0,71.4031571149826,60,7,2324,current_plus_elo,3.1278,11.6156
Man United,70.861,4.0056,0.0735,0.6387,0.9082,0.0,70.9069831520319,60,8,2324,current_plus_elo,3.9943999999999997,10.861000000000004
Arsenal,69.7347,4.163,0.0767,0.5954,0.8879,0.0,69.73836259543896,89,2,2324,current_plus_elo,2.1630000000000003,19.265299999999996
Aston Villa,60.6003,6.8721,0.0075,0.1567,0.5008,0.0008,60.641451336443424,68,4,2324,current_plus_elo,2.8720999999999997,7.399700000000003
Tottenham,55.5253,8.9798,0.0007,0.0441,0.2067,0.0064,55.37392730265856,66,5,2324,current_plus_elo,3.979799999999999,10.474699999999999
Brentford,54.4629,9.102,0.0009,0.0381,0.1893,0.0071,54.551412999629974,39,16,2324,current_plus_elo,6.898,15.462899999999998
Brighton,53.1865,9.6317,0.0005,0.0278,0.1541,0.0124,53.2779106721282,48,11,2324,current_plus_elo,1.3682999999999996,5.186500000000002
Everton,51.1134,10.6187,0.0,0.0134,0.0944,0.0214,51.010074239224195,48,12,2324,current_plus_elo,1.3812999999999995,3.1133999999999986
Crystal Palace,50.1352,11.0011,0.0,0.01,0.0755,0.0307,50.11237108707428,49,10,2324,current_plus_elo,1.0010999999999992,1.1351999999999975
Fulham,46.6387,12.5536,0.0,0.0046,0.0335,0.0732,46.5165858194232,47,14,2324,current_plus_elo,1.4464000000000006,0.36129999999999995
Chelsea,45.947,12.7552,0.0,0.0036,0.0285,0.0814,46.01712270081043,63,6,2324,current_plus_elo,6.7552,17.052999999999997
Luton,45.0786,13.2411,0.0,0.0022,0.0218,0.1018,45.235264010727406,26,18,2324,current_plus_elo,4.758900000000001,19.0786
