match_id,season,date,team,opponent,is_home,formation,captain,lineup_type,source,source_collected_at
2425_20241109_liverpool_aston_villa,2425,2024-11-09,Liverpool,Aston Villa,1,,,actual,fbref_soccerdata,2024-11-10
2425_20241109_liverpool_aston_villa,2425,2024-11-09,Aston Villa,Liverpool,0,,,actual,fbref_soccerdata,2024-11-10
2425_20241109_west_ham_everton,2425,2024-11-09,West Ham,Everton,1,,,actual,fbref_soccerdata,2024-11-10
2425_20241109_west_ham_everton,2425,2024-11-09,Everton,West Ham,0,,,actual,fbref_soccerdata,2024-11-10
2425_20241109_wolves_southampton,2425,2024-11-09,Wolves,Southampton,1,,,actual,fbref_soccerdata,2024-11-10
2425_20241109_wolves_southampton,2425,2024-11-09,Southampton,Wolves,0,,,actual,fbref_soccerdata,2024-11-10
2425_20241110_chelsea_arsenal,2425,2024-11-10,Chelsea,Arsenal,1,,,actual,fbref_soccerdata,2024-11-11
2425_20241110_chelsea_arsenal,2425,2024-11-10,Arsenal,Chelsea,0,,,actual,fbref_soccerdata,2024-11-11
2425_20241110_man_united_leicester,2425,2024-11-10,Man United,Leicester,1,,,actual,fbref_soccerdata,2024-11-11
2425_20241110_man_united_leicester,2425,2024-11-10,Leicester,Man United,0,,,actual,fbref_soccerdata,2024-11-11
2425_20241110_nottm_forest_newcastle,2425,2024-11-10,Nott'm Forest,Newcastle,1,,,actual,fbref_soccerdata,2024-11-11
2425_20241110_nottm_forest_newcastle,2425,2024-11-10,Newcastle,Nott'm Forest,0,,,actual,fbref_soccerdata,2024-11-11
2425_20241110_tottenham_ipswich,2425,2024-11-10,Tottenham,Ipswich,1,,,actual,fbref_soccerdata,2024-11-11
2425_20241110_tottenham_ipswich,2425,2024-11-10,Ipswich,Tottenham,0,,,actual,fbref_soccerdata,2024-11-11
2425_20241123_arsenal_nottm_forest,2425,2024-11-23,Arsenal,Nott'm Forest,1,,,actual,fbref_soccerdata,2024-11-24
2425_20241123_arsenal_nottm_forest,2425,2024-11-23,Nott'm Forest,Arsenal,0,,,actual,fbref_soccerdata,2024-11-24
