match_id,season,date,team,formation,manager,source,source_collected_at
2425_20241019_bournemouth_arsenal,2425,2024-10-19,Bournemouth,,,fbref_soccerdata,2024-10-20
2425_20241019_bournemouth_arsenal,2425,2024-10-19,Arsenal,,,fbref_soccerdata,2024-10-20
2425_20241019_fulham_aston_villa,2425,2024-10-19,Fulham,,,fbref_soccerdata,2024-10-20
2425_20241019_fulham_aston_villa,2425,2024-10-19,Aston Villa,,,fbref_soccerdata,2024-10-20
2425_20241019_ipswich_everton,2425,2024-10-19,Ipswich,,,fbref_soccerdata,2024-10-20
2425_20241019_ipswich_everton,2425,2024-10-19,Everton,,,fbref_soccerdata,2024-10-20
2425_20241019_man_united_brentford,2425,2024-10-19,Man United,,,fbref_soccerdata,2024-10-20
2425_20241019_man_united_brentford,2425,2024-10-19,Brentford,,,fbref_soccerdata,2024-10-20
2425_20241019_newcastle_brighton,2425,2024-10-19,Newcastle,,,fbref_soccerdata,2024-10-20
2425_20241019_newcastle_brighton,2425,2024-10-19,Brighton,,,fbref_soccerdata,2024-10-20
2425_20241019_southampton_leicester,2425,2024-10-19,Southampton,,,fbref_soccerdata,2024-10-20
2425_20241019_southampton_leicester,2425,2024-10-19,Leicester,,,fbref_soccerdata,2024-10-20
2425_20241019_tottenham_west_ham,2425,2024-10-19,Tottenham,,,fbref_soccerdata,2024-10-20
2425_20241019_tottenham_west_ham,2425,2024-10-19,West Ham,,,fbref_soccerdata,2024-10-20
2425_20241020_liverpool_chelsea,2425,2024-10-20,Liverpool,,,fbref_soccerdata,2024-10-21
2425_20241020_liverpool_chelsea,2425,2024-10-20,Chelsea,,,fbref_soccerdata,2024-10-21
2425_20241020_wolves_man_city,2425,2024-10-20,Wolves,,,fbref_soccerdata,2024-10-21
2425_20241020_wolves_man_city,2425,2024-10-20,Man City,,,fbref_soccerdata,2024-10-21
2425_20241021_nottm_forest_crystal_palace,2425,2024-10-21,Nott'm Forest,,,fbref_soccerdata,2024-10-22
2425_20241021_nottm_forest_crystal_palace,2425,2024-10-21,Crystal Palace,,,fbref_soccerdata,2024-10-22
2425_20241025_leicester_nottm_forest,2425,2024-10-25,Leicester,,,fbref_soccerdata,2024-10-26
2425_20241025_leicester_nottm_forest,2425,2024-10-25,Nott'm Forest,,,fbref_soccerdata,2024-10-26
2425_20241026_aston_villa_bournemouth,2425,2024-10-26,Aston Villa,,,fbref_soccerdata,2024-10-27
2425_20241026_aston_villa_bournemouth,2425,2024-10-26,Bournemouth,,,fbref_soccerdata,2024-10-27
2425_20241026_brentford_ipswich,2425,2024-10-26,Brentford,,,fbref_soccerdata,2024-10-27
2425_20241026_brentford_ipswich,2425,2024-10-26,Ipswich,,,fbref_soccerdata,2024-10-27
2425_20241026_brighton_wolves,2425,2024-10-26,Brighton,,,fbref_soccerdata,2024-10-27
2425_20241026_brighton_wolves,2425,2024-10-26,Wolves,,,fbref_soccerdata,2024-10-27
2425_20241026_everton_fulham,2425,2024-10-26,Everton,,,fbref_soccerdata,2024-10-27
2425_20241026_everton_fulham,2425,2024-10-26,Fulham,,,fbref_soccerdata,2024-10-27
2425_20241026_man_city_southampton,2425,2024-10-26,Man City,,,fbref_soccerdata,2024-10-27
2425_20241026_man_city_southampton,2425,2024-10-26,Southampton,,,fbref_soccerdata,2024-10-27
2425_20241027_arsenal_liverpool,2425,2024-10-27,Arsenal,,,fbref_soccerdata,2024-10-28
2425_20241027_arsenal_liverpool,2425,2024-10-27,Liverpool,,,fbref_soccerdata,2024-10-28
2425_20241027_chelsea_newcastle,2425,2024-10-27,Chelsea,,,fbref_soccerdata,2024-10-28
2425_20241027_chelsea_newcastle,2425,2024-10-27,Newcastle,,,fbref_soccerdata,2024-10-28
