Date,Season,HomeTeam,AwayTeam,home_win_probability,draw_probability,away_win_probability,squad_strength_prior_weight,home_squad_strength_score,away_squad_strength_score,squad_strength_diff
2027-01-16,2026/27,Bournemouth,Ipswich,0.3334495080393165,0.3055124763499739,0.36103801561070964,0.025,0.676850904932348,0.3042436157500667,0.3726072891822813
2027-01-16,2026/27,Brentford,Brighton,0.32429101858502013,0.2677694866838747,0.4079394947311052,0.025,0.6225140877503055,0.6777263169997666,-0.05521222924946112
2027-01-16,2026/27,Chelsea,Sunderland,0.4622760251385307,0.2736638350200264,0.2640601398414429,0.025,0.9339182431634738,0.5315033133148145,0.40241492984865934
2027-01-16,2026/27,Liverpool,Crystal Palace,0.5828463550657577,0.2504672484915226,0.16668639644271976,0.025,0.8703170526167026,0.6681914087020531,0.2021256439146495
2027-01-16,2026/27,Man City,Nott'm Forest,0.6882833552546046,0.21005323945322169,0.10166340529217377,0.025,1.0,0.6847902801698104,0.31520971983018964
2027-01-16,2026/27,Newcastle,Fulham,0.4684776389375038,0.27123102232839885,0.26029133873409743,0.025,0.7560965508449361,0.5004370086606525,0.25565954218428355
2027-01-16,2026/27,Tottenham,Leeds,0.3753707356015682,0.28347879321835323,0.3411504711800786,0.025,0.7580903593798862,0.5032106679166529,0.2548796914632333
2027-01-16,2026/27,Hull,Arsenal,0.2680605704734405,0.2818054723768318,0.45013395714972776,0.025,0.0,0.9792194884200927,-0.9792194884200927
2027-01-23,2026/27,Everton,Brentford,0.46097316841997577,0.2695483399013812,0.26947849167864313,0.025,0.5837357090144661,0.6225140877503055,-0.038778378735839336
2027-01-23,2026/27,Arsenal,Newcastle,0.6798967419987525,0.21716093808198242,0.10294231991926506,0.025,0.9792194884200927,0.7560965508449361,0.22312293757515655
2027-01-23,2026/27,Brighton,Man City,0.3038235689324325,0.26609850785294675,0.43007792321462074,0.025,0.6777263169997666,1.0,-0.3222736830002334
2027-01-23,2026/27,Crystal Palace,Tottenham,0.35331499589331167,0.2959472390245887,0.3507377650820996,0.025,0.6681914087020531,0.7580903593798862,-0.08989895067783316
2027-01-23,2026/27,Fulham,Aston Villa,0.3367574282032139,0.28586394736402704,0.3773786244327591,0.025,0.5004370086606525,0.6530679997643404,-0.15263099110368783
2027-01-23,2026/27,Ipswich,Hull,0.3569170488930686,0.2805200787666882,0.36256287234024326,0.025,0.3042436157500667,0.0,0.3042436157500667
2027-01-23,2026/27,Man United,Liverpool,0.5347637474911116,0.25617840925581553,0.20905784325307303,0.025,0.7854689788300634,0.8703170526167026,-0.08484807378663917
2027-01-23,2026/27,Nott'm Forest,Bournemouth,0.3288729175472333,0.3062162607941719,0.36491082165859484,0.025,0.6847902801698104,0.676850904932348,0.007939375237462354
2027-01-23,2026/27,Sunderland,Coventry,0.6265678838273424,0.21614903535927749,0.15728308081338013,0.025,0.5315033133148145,0.2691907680537146,0.26231254526109987
