team,expected_points,expected_position,title_probability,top_4_probability,top_6_probability,relegation_probability,expected_points_deterministic,points,actual_position,season,model_variant,position_error,points_error
Everton,64.197,5.288,0.067,0.466,0.692,0.001,64.15939048677683,48,12,2324,current_without_elo,6.712,16.197000000000003
Aston Villa,62.453,5.895,0.063,0.375,0.633,0.003,62.8208841830492,68,4,2324,current_without_elo,1.8949999999999996,5.546999999999997
Arsenal,58.818,7.37,0.028,0.26,0.467,0.006,58.54602615535259,89,2,2324,current_without_elo,5.37,30.182000000000002
Man City,58.958,7.664,0.021,0.223,0.409,0.003,58.95764445513487,91,1,2324,current_without_elo,6.664,32.042
Brentford,57.565,8.044,0.012,0.184,0.375,0.012,57.927054829895496,39,16,2324,current_without_elo,7.9559999999999995,18.564999999999998
Crystal Palace,52.921,10.29,0.008,0.069,0.188,0.043,52.8640480786562,49,10,2324,current_without_elo,0.28999999999999915,3.9209999999999994
Tottenham,52.377,10.868,0.003,0.055,0.14,0.052,52.659819170832634,66,5,2324,current_without_elo,5.868,13.622999999999998
Brighton,51.423,10.921,0.004,0.049,0.142,0.045,50.8049141317606,48,11,2324,current_without_elo,0.07900000000000063,3.423000000000002
Fulham,51.021,11.306,0.001,0.042,0.128,0.072,51.00047519057989,47,14,2324,current_without_elo,2.694000000000001,4.021000000000001
Chelsea,47.718,12.856,0.001,0.019,0.062,0.114,47.73555353283882,63,6,2324,current_without_elo,6.856,15.281999999999996
Nott'm Forest,45.885,13.821,0.0,0.004,0.03,0.192,45.892508149147034,36,17,2324,current_without_elo,3.1790000000000003,9.884999999999998
Burnley,44.801,14.23,0.0,0.008,0.023,0.207,44.881302282214165,24,19,2324,current_without_elo,4.77,20.801000000000002
Bournemouth,41.814,15.392,0.0,0.002,0.011,0.319,42.3090363368392,48,13,2324,current_without_elo,2.3919999999999995,6.186
West Ham,42.547,15.404,0.0,0.003,0.01,0.32,42.2573394626379,52,9,2324,current_without_elo,6.404,9.453000000000003
Sheffield United,42.332,15.511,0.0,0.0,0.006,0.331,42.164929777383804,16,20,2324,current_without_elo,4.489000000000001,26.332
Luton,39.59,16.434,0.0,0.001,0.009,0.461,40.01373737305403,26,18,2324,current_without_elo,1.565999999999999,13.590000000000003
Wolves,32.561,18.771,0.0,0.0,0.0,0.819,32.34775572270155,46,15,2324,current_without_elo,3.771000000000001,13.439
Liverpool,79.9,1.962,0.516,0.941,0.99,0.0,80.03490149229765,82,3,2324,current_plus_elo,1.038,2.0999999999999943
Man City,76.208,2.75,0.243,0.868,0.977,0.0,76.05988085269928,91,1,2324,current_plus_elo,1.75,14.792000000000002
Newcastle,71.785,3.832,0.085,0.68,0.922,0.0,71.4031571149826,60,7,2324,current_plus_elo,3.168,11.784999999999997
Man United,70.781,4.018,0.068,0.633,0.923,0.0,70.9069831520319,60,8,2324,current_plus_elo,3.982,10.781000000000006
Arsenal,69.936,4.097,0.078,0.607,0.892,0.0,69.73836259543896,89,2,2324,current_plus_elo,2.0970000000000004,19.063999999999993
Aston Villa,60.151,7.009,0.009,0.135,0.479,0.0,60.641451336443424,68,4,2324,current_plus_elo,3.0090000000000003,7.848999999999997
Tottenham,55.117,9.121,0.001,0.037,0.204,0.008,55.37392730265856,66,5,2324,current_plus_elo,4.121,10.883000000000003
Brentford,54.259,9.18,0.0,0.023,0.18,0.008,54.551412999629974,39,16,2324,current_plus_elo,6.82,15.259
Brighton,53.855,9.349,0.0,0.036,0.166,0.01,53.2779106721282,48,11,2324,current_plus_elo,1.6509999999999998,5.854999999999997
Everton,51.243,10.583,0.0,0.02,0.094,0.02,51.010074239224195,48,12,2324,current_plus_elo,1.4169999999999998,3.243000000000002
Crystal Palace,50.167,10.921,0.0,0.013,0.084,0.043,50.11237108707428,49,10,2324,current_plus_elo,0.9209999999999994,1.1670000000000016
Fulham,46.6,12.587,0.0,0.005,0.038,0.083,46.5165858194232,47,14,2324,current_plus_elo,1.4130000000000003,0.3999999999999986
Chelsea,45.912,12.811,0.0,0.001,0.019,0.075,46.01712270081043,63,6,2324,current_plus_elo,6.811,17.088
Luton,44.873,13.288,0.0,0.001,0.019,0.116,45.235264010727406,26,18,2324,current_plus_elo,4.712,18.872999999999998
Burnley,41.217,14.759,0.0,0.0,0.007,0.219,41.284135431051254,24,19,2324,current_plus_elo,4.241,17.217
Bournemouth,38.987,15.524,0.0,0.0,0.003,0.305,39.426887542009354,48,13,2324,current_plus_elo,2.523999999999999,9.012999999999998
West Ham,39.68,15.558,0.0,0.0,0.003,0.289,39.37168090417981,52,9,2324,current_plus_elo,6.558,12.32
Nott'm Forest,37.71,16.226,0.0,0.0,0.0,0.379,37.59182121232152,36,17,2324,current_plus_elo,0.7740000000000009,1.7100000000000009
Sheffield United,32.044,18.127,0.0,0.0,0.0,0.711,31.887181285768747,16,20,2324,current_plus_elo,1.873000000000001,16.043999999999997
Wolves,32.035,18.298,0.0,0.0,0.0,0.734,31.998995758593082,46,15,2324,current_plus_elo,3.2979999999999983,13.965000000000003
Liverpool,74.185,2.62,0.335,0.86,0.957,0.0,74.2818449210304,82,3,2324,current_plus_elo_calibrated,0.3799999999999999,7.814999999999998
Newcastle,72.257,3.114,0.239,0.778,0.942,0.0,71.79991192981636,60,7,2324,current_plus_elo_calibrated,3.886,12.257000000000005
Man United,70.481,3.652,0.175,0.71,0.892,0.0,70.56583110278433,60,8,2324,current_plus_elo_calibrated,4.348,10.480999999999995
Arsenal,67.247,4.421,0.113,0.559,0.816,0.0,67.23638225052954,89,2,2324,current_plus_elo_calibrated,2.4210000000000003,21.753
Man City,67.069,4.625,0.101,0.529,0.785,0.0,67.02443504927501,91,1,2324,current_plus_elo_calibrated,3.625,23.930999999999997
Aston Villa,61.101,6.534,0.028,0.246,0.539,0.002,61.383562814504245,68,4,2324,current_plus_elo_calibrated,2.534,6.899000000000001
Brentford,55.552,8.82,0.004,0.087,0.268,0.012,55.84516983436775,39,16,2324,current_plus_elo_calibrated,7.18,16.552
Tottenham,55.927,8.935,0.003,0.095,0.256,0.01,56.25174691083793,66,5,2324,current_plus_elo_calibrated,3.9350000000000005,10.073
Brighton,52.088,10.379,0.001,0.037,0.128,0.026,51.509440109734044,48,11,2324,current_plus_elo_calibrated,0.6210000000000004,4.088000000000001
Crystal Palace,51.992,10.532,0.001,0.036,0.145,0.044,51.96750636506014,49,10,2324,current_plus_elo_calibrated,0.532,2.9919999999999973
Everton,50.383,11.393,0.0,0.023,0.086,0.046,50.140802266738454,48,12,2324,current_plus_elo_calibrated,0.6069999999999993,2.3830000000000027
Burnley,48.317,12.236,0.0,0.016,0.076,0.087,48.26365000008563,24,19,2324,current_plus_elo_calibrated,6.763999999999999,24.317
Fulham,46.246,13.306,0.0,0.009,0.037,0.163,46.05716484720938,47,14,2324,current_plus_elo_calibrated,0.6940000000000008,0.7539999999999978
Chelsea,45.443,13.608,0.0,0.005,0.02,0.149,45.64539266915933,63,6,2324,current_plus_elo_calibrated,7.6080000000000005,17.557000000000002
Luton,45.087,13.899,0.0,0.006,0.032,0.182,45.5439257356268,26,18,2324,current_plus_elo_calibrated,4.101000000000001,19.087000000000003
Bournemouth,41.421,15.269,0.0,0.001,0.009,0.317,41.97149752307396,48,13,2324,current_plus_elo_calibrated,2.269,6.579000000000001
Nott'm Forest,41.058,15.635,0.0,0.0,0.004,0.345,41.07839062721625,36,17,2324,current_plus_elo_calibrated,1.3650000000000002,5.058
West Ham,40.426,16.013,0.0,0.002,0.006,0.4,40.145597460737484,52,9,2324,current_plus_elo_calibrated,7.013000000000002,11.573999999999998
Sheffield United,37.29,17.146,0.0,0.001,0.002,0.555,37.0830695442718,16,20,2324,current_plus_elo_calibrated,2.853999999999999,21.29
