Date,Season,HomeTeam,AwayTeam,home_win_probability,draw_probability,away_win_probability,model_variant
2021-12-28,2122,Southampton,Tottenham,0.29956483840942383,0.2864517867565155,0.41398343443870544,current_plus_elo
2021-12-28,2122,Crystal Palace,Norwich,0.7624215483665466,0.10871289670467377,0.1288655549287796,current_plus_elo
2021-12-28,2122,Leicester,Liverpool,0.09961234033107758,0.371975839138031,0.5284118056297302,current_plus_elo
2021-12-28,2122,Watford,West Ham,0.25896573066711426,0.24265611171722412,0.498378187417984,current_plus_elo
2021-12-29,2122,Chelsea,Brighton,0.6922323703765869,0.1924007385969162,0.11536691337823868,current_plus_elo
2021-12-29,2122,Brentford,Man City,0.11595255136489868,0.21291044354438782,0.6711370348930359,current_plus_elo
2021-12-30,2122,Man United,Burnley,0.390101820230484,0.13371051847934723,0.47618767619132996,current_plus_elo
2022-01-01,2122,Crystal Palace,West Ham,0.37892425060272217,0.1875588297843933,0.43351688981056213,current_plus_elo
2022-01-01,2122,Arsenal,Man City,0.2850209176540375,0.18199695646762848,0.5329821109771729,current_plus_elo
2022-01-01,2122,Watford,Tottenham,0.41352301836013794,0.17435306310653687,0.4121238887310028,current_plus_elo
2022-01-02,2122,Brentford,Aston Villa,0.38160842657089233,0.2773255705833435,0.3410659730434418,current_plus_elo
2022-01-02,2122,Everton,Brighton,0.5425546765327454,0.2695566415786743,0.1878887265920639,current_plus_elo
2022-01-02,2122,Leeds,Burnley,0.4844021499156952,0.22808431088924408,0.28751352429389954,current_plus_elo
2022-01-02,2122,Chelsea,Liverpool,0.3502556383609772,0.20332324504852295,0.4464211165904999,current_plus_elo
2022-01-03,2122,Man United,Wolves,0.3880769908428192,0.10435936599969864,0.5075637102127075,current_plus_elo
2022-01-11,2122,Southampton,Brentford,0.46134060621261597,0.21461881697177887,0.32404059171676636,current_plus_elo
2022-01-12,2122,West Ham,Norwich,0.6455057263374329,0.23344509303569794,0.12104915082454681,current_plus_elo
2022-01-14,2122,Brighton,Crystal Palace,0.3179791271686554,0.2975936532020569,0.3844272196292877,current_plus_elo
2022-01-15,2122,Newcastle,Watford,0.4020015001296997,0.3434946537017822,0.2545038163661957,current_plus_elo
2022-01-15,2122,Man City,Chelsea,0.2735970914363861,0.25924694538116455,0.4671560227870941,current_plus_elo
2022-01-15,2122,Norwich,Everton,0.311198890209198,0.11377106606960297,0.5750300288200378,current_plus_elo
2022-01-15,2122,Aston Villa,Man United,0.15697769820690155,0.3325704336166382,0.5104519128799438,current_plus_elo
2022-01-15,2122,Wolves,Southampton,0.3235672414302826,0.18488956987857819,0.4915432035923004,current_plus_elo
2022-01-16,2122,Liverpool,Brentford,0.8991038799285889,0.05453993380069733,0.046356201171875,current_plus_elo
2022-01-16,2122,West Ham,Leeds,0.6064387559890747,0.23748597502708435,0.15607528388500214,current_plus_elo
2022-01-18,2122,Brighton,Chelsea,0.24803534150123596,0.23134763538837433,0.5206170082092285,current_plus_elo
2022-01-19,2122,Leicester,Tottenham,0.16702395677566528,0.1864301562309265,0.6465458869934082,current_plus_elo
2022-01-19,2122,Brentford,Man United,0.21295736730098724,0.28744882345199585,0.4995937645435333,current_plus_elo
2022-01-21,2122,Watford,Norwich,0.8102775812149048,0.06941135972738266,0.12031108140945435,current_plus_elo
2022-01-22,2122,Leeds,Newcastle,0.5322359800338745,0.2782782316207886,0.18948586285114288,current_plus_elo
2022-01-22,2122,Everton,Aston Villa,0.5949491262435913,0.22906813025474548,0.1759827584028244,current_plus_elo
2022-01-22,2122,Man United,West Ham,0.27257803082466125,0.11785636842250824,0.6095656156539917,current_plus_elo
2022-01-22,2122,Southampton,Man City,0.1407487839460373,0.2736917734146118,0.5855594277381897,current_plus_elo
2022-01-22,2122,Brentford,Wolves,0.3564051389694214,0.3107406198978424,0.3328542411327362,current_plus_elo
2022-01-23,2122,Crystal Palace,Liverpool,0.13237082958221436,0.4752989411354065,0.39233025908470154,current_plus_elo
2022-01-23,2122,Arsenal,Burnley,0.4199709892272949,0.2347387820482254,0.34529024362564087,current_plus_elo
2022-01-23,2122,Chelsea,Tottenham,0.5759692788124084,0.14229953289031982,0.28173118829727173,current_plus_elo
2022-01-23,2122,Leicester,Brighton,0.5403501987457275,0.19076494872570038,0.26888489723205566,current_plus_elo
2022-02-05,2122,Burnley,Watford,0.2721077501773834,0.2502341866493225,0.47765806317329407,current_plus_elo
2022-02-08,2122,West Ham,Watford,0.6033875346183777,0.21696461737155914,0.17964789271354675,current_plus_elo
2022-02-08,2122,Burnley,Man United,0.17486880719661713,0.31357815861701965,0.5115530490875244,current_plus_elo
2022-02-08,2122,Newcastle,Everton,0.334625244140625,0.3154201805591583,0.3499545753002167,current_plus_elo
2022-02-09,2122,Man City,Brentford,0.7131891846656799,0.09832119196653366,0.1884896606206894,current_plus_elo
2022-02-09,2122,Norwich,Crystal Palace,0.15610314905643463,0.05639737844467163,0.7874994874000549,current_plus_elo
2022-02-09,2122,Tottenham,Southampton,0.5765953660011292,0.1645108461380005,0.258893758058548,current_plus_elo
2022-02-09,2122,Aston Villa,Leeds,0.1769859939813614,0.4423992335796356,0.3806147575378418,current_plus_elo
